"id","date"," lever"," coucher"
1,"2012-01-01"," 08:27"," 17:28"
2,"2012-01-02"," 08:28"," 17:28"
3,"2012-01-03"," 08:28"," 17:29"
4,"2012-01-04"," 08:28"," 17:30"
5,"2012-01-05"," 08:27"," 17:31"
6,"2012-01-06"," 08:27"," 17:32"
7,"2012-01-07"," 08:27"," 17:33"
8,"2012-01-08"," 08:27"," 17:34"
9,"2012-01-09"," 08:27"," 17:35"
10,"2012-01-10"," 08:27"," 17:36"
11,"2012-01-11"," 08:26"," 17:38"
12,"2012-01-12"," 08:26"," 17:39"
13,"2012-01-13"," 08:26"," 17:40"
14,"2012-01-14"," 08:25"," 17:41"
15,"2012-01-15"," 08:25"," 17:42"
16,"2012-01-16"," 08:24"," 17:43"
17,"2012-01-17"," 08:24"," 17:45"
18,"2012-01-18"," 08:23"," 17:46"
19,"2012-01-19"," 08:22"," 17:47"
20,"2012-01-20"," 08:22"," 17:48"
21,"2012-01-21"," 08:21"," 17:50"
22,"2012-01-22"," 08:20"," 17:51"
23,"2012-01-23"," 08:20"," 17:52"
24,"2012-01-24"," 08:19"," 17:54"
25,"2012-01-25"," 08:18"," 17:55"
26,"2012-01-26"," 08:17"," 17:56"
27,"2012-01-27"," 08:16"," 17:58"
28,"2012-01-28"," 08:15"," 17:59"
29,"2012-01-29"," 08:14"," 18:00"
30,"2012-01-30"," 08:13"," 18:02"
31,"2012-01-31"," 08:12"," 18:03"
32,"2012-02-01"," 08:11"," 18:04"
33,"2012-02-02"," 08:10"," 18:06"
34,"2012-02-03"," 08:09"," 18:07"
35,"2012-02-04"," 08:08"," 18:08"
36,"2012-02-05"," 08:07"," 18:10"
37,"2012-02-06"," 08:05"," 18:11"
38,"2012-02-07"," 08:04"," 18:12"
39,"2012-02-08"," 08:03"," 18:14"
40,"2012-02-09"," 08:02"," 18:15"
41,"2012-02-10"," 08:00"," 18:17"
42,"2012-02-11"," 07:59"," 18:18"
43,"2012-02-12"," 07:58"," 18:19"
44,"2012-02-13"," 07:56"," 18:21"
45,"2012-02-14"," 07:55"," 18:22"
46,"2012-02-15"," 07:53"," 18:23"
47,"2012-02-16"," 07:52"," 18:25"
48,"2012-02-17"," 07:50"," 18:26"
49,"2012-02-18"," 07:49"," 18:27"
50,"2012-02-19"," 07:47"," 18:29"
51,"2012-02-20"," 07:46"," 18:30"
52,"2012-02-21"," 07:44"," 18:31"
53,"2012-02-22"," 07:43"," 18:33"
54,"2012-02-23"," 07:41"," 18:34"
55,"2012-02-24"," 07:40"," 18:35"
56,"2012-02-25"," 07:38"," 18:37"
57,"2012-02-26"," 07:36"," 18:38"
58,"2012-02-27"," 07:35"," 18:39"
59,"2012-02-28"," 07:33"," 18:41"
60,"2012-02-29"," 07:31"," 18:42"
61,"2012-03-01"," 07:30"," 18:43"
62,"2012-03-02"," 07:28"," 18:44"
63,"2012-03-03"," 07:26"," 18:46"
64,"2012-03-04"," 07:25"," 18:47"
65,"2012-03-05"," 07:23"," 18:48"
66,"2012-03-06"," 07:21"," 18:49"
67,"2012-03-07"," 07:20"," 18:51"
68,"2012-03-08"," 07:18"," 18:52"
69,"2012-03-09"," 07:16"," 18:53"
70,"2012-03-10"," 07:14"," 18:54"
71,"2012-03-11"," 07:13"," 18:56"
72,"2012-03-12"," 07:11"," 18:57"
73,"2012-03-13"," 07:09"," 18:58"
74,"2012-03-14"," 07:07"," 18:59"
75,"2012-03-15"," 07:05"," 19:01"
76,"2012-03-16"," 07:04"," 19:02"
77,"2012-03-17"," 07:02"," 19:03"
78,"2012-03-18"," 07:00"," 19:04"
79,"2012-03-19"," 06:58"," 19:05"
80,"2012-03-20"," 06:56"," 19:07"
81,"2012-03-21"," 06:55"," 19:08"
82,"2012-03-22"," 06:53"," 19:09"
83,"2012-03-23"," 06:51"," 19:10"
84,"2012-03-24"," 06:49"," 19:11"
85,"2012-03-25"," 06:47"," 19:13"
86,"2012-03-26"," 07:46"," 20:14"
87,"2012-03-27"," 07:44"," 20:15"
88,"2012-03-28"," 07:42"," 20:16"
89,"2012-03-29"," 07:40"," 20:17"
90,"2012-03-30"," 07:38"," 20:19"
91,"2012-03-31"," 07:37"," 20:20"
92,"2012-04-01"," 07:35"," 20:21"
93,"2012-04-02"," 07:33"," 20:22"
94,"2012-04-03"," 07:31"," 20:23"
95,"2012-04-04"," 07:29"," 20:25"
96,"2012-04-05"," 07:28"," 20:26"
97,"2012-04-06"," 07:26"," 20:27"
98,"2012-04-07"," 07:24"," 20:28"
99,"2012-04-08"," 07:22"," 20:29"
100,"2012-04-09"," 07:21"," 20:31"
101,"2012-04-10"," 07:19"," 20:32"
102,"2012-04-11"," 07:17"," 20:33"
103,"2012-04-12"," 07:16"," 20:34"
104,"2012-04-13"," 07:14"," 20:35"
105,"2012-04-14"," 07:12"," 20:37"
106,"2012-04-15"," 07:11"," 20:38"
107,"2012-04-16"," 07:09"," 20:39"
108,"2012-04-17"," 07:07"," 20:40"
109,"2012-04-18"," 07:06"," 20:41"
110,"2012-04-19"," 07:04"," 20:42"
111,"2012-04-20"," 07:02"," 20:44"
112,"2012-04-21"," 07:01"," 20:45"
113,"2012-04-22"," 06:59"," 20:46"
