id;date;saison;type_jour
1;2021-01-01;H;W
2;2021-01-02;H;W
3;2021-01-03;H;W
4;2021-01-04;H;T
5;2021-01-05;H;T
6;2021-01-06;H;T
7;2021-01-07;H;T
8;2021-01-08;H;T
9;2021-01-09;H;W
10;2021-01-10;H;W
11;2021-01-11;H;T
12;2021-01-12;H;T
13;2021-01-13;H;T
14;2021-01-14;H;T
15;2021-01-15;H;T
16;2021-01-16;H;W
17;2021-01-17;H;W
18;2021-01-18;H;T
19;2021-01-19;H;T
20;2021-01-20;H;T
21;2021-01-21;H;T
22;2021-01-22;H;T
23;2021-01-23;H;W
24;2021-01-24;H;W
25;2021-01-25;H;T
26;2021-01-26;H;T
27;2021-01-27;H;T
28;2021-01-28;H;T
29;2021-01-29;H;T
30;2021-01-30;H;W
31;2021-01-31;H;W
32;2021-02-01;H;T
33;2021-02-02;H;T
34;2021-02-03;H;T
35;2021-02-04;H;T
36;2021-02-05;H;T
37;2021-02-06;H;W
38;2021-02-07;H;W
39;2021-02-08;H;T
40;2021-02-09;H;T
41;2021-02-10;H;T
42;2021-02-11;H;T
43;2021-02-12;H;T
44;2021-02-13;H;W
45;2021-02-14;H;W
46;2021-02-15;H;T
47;2021-02-16;H;T
48;2021-02-17;H;T
49;2021-02-18;H;T
50;2021-02-19;H;T
51;2021-02-20;H;W
52;2021-02-21;H;W
53;2021-02-22;H;T
54;2021-02-23;H;T
55;2021-02-24;H;T
56;2021-02-25;H;T
57;2021-02-26;H;T
58;2021-02-27;H;W
59;2021-02-28;H;W
60;2021-03-01;H;T
61;2021-03-02;H;T
62;2021-03-03;H;T
63;2021-03-04;H;T
64;2021-03-05;H;T
65;2021-03-06;H;W
66;2021-03-07;H;W
67;2021-03-08;H;T
68;2021-03-09;H;T
69;2021-03-10;H;T
70;2021-03-11;H;T
71;2021-03-12;H;T
72;2021-03-13;H;W
73;2021-03-14;H;W
74;2021-03-15;H;T
75;2021-03-16;H;T
76;2021-03-17;H;T
77;2021-03-18;H;T
78;2021-03-19;H;T
79;2021-03-20;H;W
80;2021-03-21;H;W
81;2021-03-22;H;T
82;2021-03-23;H;T
83;2021-03-24;H;T
84;2021-03-25;H;T
85;2021-03-26;H;T
86;2021-03-27;H;W
87;2021-03-28;H;W
88;2021-03-29;H;T
89;2021-03-30;H;T
90;2021-03-31;H;T
91;2021-04-01;H;T
92;2021-04-02;H;T
93;2021-04-03;H;W
94;2021-04-04;H;W
95;2021-04-05;H;W
96;2021-04-06;H;T
97;2021-04-07;H;T
98;2021-04-08;H;T
99;2021-04-09;H;T
100;2021-04-10;H;W
101;2021-04-11;H;W
102;2021-04-12;H;T
103;2021-04-13;H;T
104;2021-04-14;H;T
105;2021-04-15;H;T
106;2021-04-16;H;T
107;2021-04-17;H;W
108;2021-04-18;H;W
109;2021-04-19;H;T
110;2021-04-20;A;T
111;2021-04-21;A;T
112;2021-04-22;A;T
113;2021-04-23;A;T
114;2021-04-24;A;W
115;2021-04-25;A;W
116;2021-04-26;A;T
117;2021-04-27;A;T
118;2021-04-28;A;T
119;2021-04-29;A;T
120;2021-04-30;A;T
121;2021-05-01;A;W
122;2021-05-02;A;W
123;2021-05-03;A;T
124;2021-05-04;A;T
125;2021-05-05;A;T
126;2021-05-06;A;T
127;2021-05-07;A;T
128;2021-05-08;A;W
129;2021-05-09;A;W
130;2021-05-10;A;T
131;2021-05-11;A;T
132;2021-05-12;A;T
133;2021-05-13;A;W
134;2021-05-14;A;T
135;2021-05-15;A;W
136;2021-05-16;A;W
137;2021-05-17;A;T
138;2021-05-18;A;T
139;2021-05-19;A;T
140;2021-05-20;A;T
141;2021-05-21;A;T
