DATE;Heure;nvg
06-11-2014;04:03:34;27
06-11-2014;04:13:36;30
06-11-2014;04:23:37;29
06-11-2014;04:33:37;30
06-11-2014;04:43:38;27
06-11-2014;04:53:39;28
06-11-2014;05:03:40;31
06-11-2014;05:23:42;29
06-11-2014;05:33:43;33
06-11-2014;05:43:43;31
06-11-2014;05:53:46;38
06-11-2014;06:03:50;35
06-11-2014;06:13:45;31
06-11-2014;06:23:46;31
06-11-2014;06:33:46;33
07-11-2014;10:16:14;32
07-11-2014;10:26:15;48
07-11-2014;10:26:20;48
07-11-2014;10:36:16;35
07-11-2014;10:46:18;32
07-11-2014;10:46:23;32
07-11-2014;10:56:18;33
07-11-2014;11:06:19;33
07-11-2014;11:16:20;34
07-11-2014;11:16:25;34
07-11-2014;11:26:20;33
07-11-2014;11:36:21;51
07-11-2014;17:06:48;37
07-11-2014;17:16:49;34
07-11-2014;17:26:51;38
07-11-2014;17:36:52;35
07-11-2014;17:46:52;35
07-11-2014;17:46:57;35
07-11-2014;17:56:53;42
07-11-2014;18:06:54;39
07-11-2014;18:16:54;39
07-11-2014;18:26:55;38
07-11-2014;18:46:57;35
07-11-2014;18:56:58;39
07-11-2014;19:06:59;36
07-11-2014;19:17:05;36
07-11-2014;19:27:00;36
07-11-2014;19:47:01;39
07-11-2014;20:07:07;43
07-11-2014;20:17:07;43
07-11-2014;20:27:13;38
07-11-2014;20:37:12;38
07-11-2014;20:37:17;38
07-11-2014;20:47:13;39
07-11-2014;20:57:15;59
07-11-2014;21:07:14;37
07-11-2014;21:17:16;41
08-11-2014;04:37:52;14
08-11-2014;04:47:53;14
08-11-2014;04:47:58;14
08-11-2014;04:57:54;14
08-11-2014;04:57:59;14
08-11-2014;05:07:55;14
08-11-2014;05:17:56;15
08-11-2014;05:18:01;15
08-11-2014;05:27:56;15
08-11-2014;05:37:57;17
08-11-2014;05:47:58;17
08-11-2014;05:57:58;15
08-11-2014;06:07:59;17
08-11-2014;06:28:01;18
08-11-2014;06:38:02;18
08-11-2014;06:48:03;19
08-11-2014;06:58:03;19
08-11-2014;07:08:04;25
08-11-2014;07:18:05;19
08-11-2014;07:28:05;20
08-11-2014;07:38:12;20
08-11-2014;07:58:14;19
11-11-2014;12:34:58;26
11-11-2014;12:45:00;21
11-11-2014;12:55:00;21
11-11-2014;13:05:01;23
11-11-2014;13:15:02;21
11-11-2014;13:25:03;21
11-11-2014;13:35:03;24
11-11-2014;13:55:05;23
11-11-2014;14:05:06;24
11-11-2014;14:15:07;25
11-11-2014;14:25:08;24
11-11-2014;14:35:08;24
11-11-2014;14:45:09;28
11-11-2014;14:55:10;25
11-11-2014;15:05:10;25
11-11-2014;15:15:18;30
11-11-2014;15:25:15;31
11-11-2014;15:35:18;25
11-11-2014;15:45:19;26
11-11-2014;15:55:15;30
11-11-2014;16:15:16;30
11-11-2014;16:35:17;28
11-11-2014;16:45:19;33
11-11-2014;16:45:24;33
11-11-2014;16:55:19;29
11-11-2014;17:05:20;28
11-11-2014;17:15:21;29
11-11-2014;17:25:21;33
11-11-2014;17:35:22;28
12-11-2014;03:46:14;32
12-11-2014;03:56:15;29
12-11-2014;04:06:15;29
12-11-2014;04:16:16;29
12-11-2014;04:26:17;30
12-11-2014;04:36:19;32
12-11-2014;04:36:24;32
12-11-2014;04:56:20;31
12-11-2014;05:06:21;31
12-11-2014;05:16:21;35
12-11-2014;05:26:22;33
12-11-2014;05:36:23;33
12-11-2014;05:36:28;33
12-11-2014;05:46:23;32
12-11-2014;05:46:29;32
12-11-2014;05:56:25;31
12-11-2014;05:56:30;31
12-11-2014;06:06:26;33
12-11-2014;06:06:31;33
12-11-2014;06:16:26;35
12-11-2014;06:26:27;37
12-11-2014;06:26:32;37
12-11-2014;19:07:30;33
12-11-2014;19:17:32;38
12-11-2014;19:27:32;37
12-11-2014;19:37:33;34
12-11-2014;19:47:34;39
12-11-2014;19:57:34;33
