DATE;Heure;puissance;puissance_simple
19-04-2013;18:15:02;0.00;0.00
19-04-2013;18:30:01;0.00;0.00
19-04-2013;18:45:02;0.00;0.00
19-04-2013;19:00:01;0.00;0.00
19-04-2013;19:15:02;177.29;17.00
19-04-2013;19:30:02;177.29;10.06
19-04-2013;19:45:01;177.29;16.15
19-04-2013;20:00:01;177.29;-0.85
19-04-2013;20:15:01;177.29;-0.28
19-04-2013;20:30:02;177.29;17.00
19-04-2013;20:45:02;349.79;70.69
19-04-2013;21:00:01;515.90;100.58
19-04-2013;21:15:01;515.90;138.55
19-04-2013;21:30:02;515.90;158.53
19-04-2013;21:45:02;678.02;183.88
19-04-2013;22:00:01;500.73;199.33
19-04-2013;22:15:01;644.48;220.15
19-04-2013;22:30:02;644.48;246.22
19-04-2013;22:45:02;644.48;253.30
19-04-2013;23:00:02;467.19;261.80
19-04-2013;23:15:02;614.13;278.38
19-04-2013;23:30:01;614.13;297.22
19-04-2013;23:45:02;614.13;305.01
20-04-2013;00:00:02;614.13;295.80
20-04-2013;00:15:02;614.13;311.38
20-04-2013;00:30:01;479.97;325.13
20-04-2013;00:45:01;479.97;333.48
20-04-2013;01:00:02;479.97;341.84
20-04-2013;01:15:01;631.70;349.78
20-04-2013;01:30:02;631.70;364.79
20-04-2013;01:45:01;631.70;378.82
20-04-2013;02:00:01;631.70;396.10
20-04-2013;02:15:02;631.70;403.89
20-04-2013;02:30:01;506.32;416.22
20-04-2013;02:45:01;506.32;424.15
20-04-2013;03:00:02;506.32;421.88
20-04-2013;03:15:02;506.32;422.73
20-04-2013;03:30:02;506.32;418.20
20-04-2013;03:45:01;506.32;419.76
20-04-2013;04:00:02;662.85;431.38
20-04-2013;04:15:01;662.85;443.70
20-04-2013;04:30:02;662.85;462.83
20-04-2013;04:45:02;662.85;465.80
20-04-2013;05:00:02;662.85;476.85
20-04-2013;05:15:02;662.85;491.87
20-04-2013;05:30:01;502.33;509.43
20-04-2013;05:45:01;654.06;517.23
20-04-2013;06:00:02;654.06;532.24
20-04-2013;06:15:02;654.06;536.07
20-04-2013;06:30:01;654.06;540.60
20-04-2013;06:45:01;654.06;545.70
20-04-2013;07:00:02;654.06;545.98
20-04-2013;07:15:01;654.06;551.51
20-04-2013;07:30:01;654.06;564.68
20-04-2013;07:45:02;654.06;570.49
20-04-2013;08:00:02;654.06;558.88
20-04-2013;08:15:01;654.06;527.85
20-04-2013;08:30:02;502.33;501.93
20-04-2013;08:45:01;667.64;482.52
20-04-2013;09:00:02;667.64;460.84
20-04-2013;09:15:01;683.61;423.87
20-04-2013;09:30:02;683.61;376.13
20-04-2013;09:45:01;522.29;335.61
20-04-2013;10:00:02;522.29;309.26
20-04-2013;10:15:01;522.29;267.75
20-04-2013;10:30:02;500.73;204.85
20-04-2013;10:45:02;338.61;174.53
20-04-2013;11:00:02;338.61;146.77
20-04-2013;11:15:01;338.61;131.89
20-04-2013;11:30:01;338.61;103.70
20-04-2013;11:45:01;337.81;25.22
20-04-2013;12:00:02;337.81;41.08
20-04-2013;12:15:01;353.78;-22.38
20-04-2013;12:30:02;0.00;0.00
20-04-2013;12:45:01;0.00;0.00
20-04-2013;13:00:02;0.00;0.00
20-04-2013;13:15:02;0.00;0.00
