DATE;Heure;ana1 * 445.254
19-04-2013;23:00:43;0.000
19-04-2013;23:45:16;0.000
20-04-2013;00:35:21;0.000
20-04-2013;01:03:11;0.000
20-04-2013;02:04:24;0.000
20-04-2013;03:00:03;0.000
20-04-2013;04:12:23;0.000
20-04-2013;05:19:08;0.000
20-04-2013;06:14:46;0.000
20-04-2013;07:15:56;26.715
20-04-2013;08:05:59;204.817
20-04-2013;09:07:11;289.415
20-04-2013;10:19:31;725.764
20-04-2013;11:43:04;1077.515
20-04-2013;12:10:56;1130.945
20-04-2013;13:12:15;1153.208
20-04-2013;14:19:09;138.029
20-04-2013;15:03:45;280.510
20-04-2013;15:09:19;1268.974
20-04-2013;16:10:40;1046.347
20-04-2013;17:12:02;903.866
20-04-2013;18:07:49;129.124
20-04-2013;19:03:35;124.671
20-04-2013;20:04:56;48.978
20-04-2013;21:00:40;0.000
20-04-2013;22:07:32;0.000
20-04-2013;23:08:46;0.000
20-04-2013;23:31:01;0.000
21-04-2013;00:04:26;17.810
21-04-2013;01:11:12;0.000
21-04-2013;02:29:07;13.358
21-04-2013;03:02:30;0.000
21-04-2013;04:03:42;0.000
21-04-2013;05:10:27;0.000
21-04-2013;06:06:04;0.000
21-04-2013;07:01:41;0.000
21-04-2013;08:08:26;35.620
21-04-2013;09:09:40;142.481
21-04-2013;10:10:53;218.174
21-04-2013;11:01:01;409.634
21-04-2013;12:24:36;685.691
21-04-2013;13:03:38;1215.543
21-04-2013;14:10:33;748.027
21-04-2013;15:06:20;485.327
21-04-2013;16:07:42;458.612
21-04-2013;17:25:49;218.174
21-04-2013;18:04:53;618.903
21-04-2013;19:06:15;142.481
21-04-2013;20:35:29;0.000
21-04-2013;21:08:56;0.000
21-04-2013;22:04:41;8.905
21-04-2013;23:11:33;13.358
21-04-2013;23:56:08;0.000
22-04-2013;00:07:16;0.000
22-04-2013;01:08:32;0.000
22-04-2013;02:04:12;0.000
22-04-2013;03:05:26;0.000
22-04-2013;04:01:04;0.000
22-04-2013;05:07:49;13.358
22-04-2013;06:03:27;0.000
22-04-2013;07:04:38;0.000
22-04-2013;08:00:16;182.554
22-04-2013;09:01:28;44.525
22-04-2013;10:19:26;133.576
22-04-2013;11:03:59;164.744
22-04-2013;12:05:18;307.225
22-04-2013;13:23:20;271.605
22-04-2013;14:07:58;1157.660
22-04-2013;15:03:45;369.561
22-04-2013;16:10:43;1001.822
22-04-2013;17:06:31;480.874
22-04-2013;18:07:53;547.662
22-04-2013;19:09:16;307.225
22-04-2013;20:10:38;17.810
