DATE;heure;consoHP;consoHC
01-01-2011;00:00:01;1.18;1.33
02-01-2011;00:00:01;1.16;1.32
03-01-2011;00:00:01;1.17;1.41
04-01-2011;00:00:01;1.14;1.01
05-01-2011;00:00:01;0.98;1.4
06-01-2011;00:00:01;1.11;0.41
07-01-2011;00:00:01;0.11;0.35
08-01-2011;00:00:01;1.31;0.8
09-01-2011;00:00:01;1.42;1.08
10-01-2011;00:00:01;0.83;1.04
11-01-2011;00:00:01;0.82;0.83
12-01-2011;00:00:01;0.88;1.17
13-01-2011;00:00:01;0.96;1.14
14-01-2011;00:00:01;0.9;0.81
15-01-2011;00:00:01;1.11;1.04
16-01-2011;00:00:01;1.27;1.39
17-01-2011;00:00:01;0.93;1.25
18-01-2011;00:00:01;0.78;0.86
19-01-2011;00:00:01;0.88;1.03
20-01-2011;00:00:01;0.87;0.9
21-01-2011;00:00:01;0.78;0.74
22-01-2011;00:00:01;2.05;0.7
23-01-2011;00:00:01;1.73;1.11
24-01-2011;00:00:01;1.09;1.39
25-01-2011;00:00:01;0.89;0.93
26-01-2011;00:00:01;0.82;0.69
27-01-2011;00:00:01;0.88;0.67
28-01-2011;00:00:01;0.87;0.74
29-01-2011;00:00:01;1.01;0.85
30-01-2011;00:00:01;1.38;0.72
31-01-2011;00:00:01;0.77;0.9
01-02-2011;00:00:01;0.8;0.95
02-02-2011;00:00:01;0.84;1.06
03-02-2011;00:00:01;0.92;0.88
04-02-2011;00:00:01;0.98;0.66
05-02-2011;00:00:01;1;1.06
06-02-2011;00:00:01;1.33;1.1
07-02-2011;00:00:01;0.9;1.34
08-02-2011;00:00:01;0.9;0.71
09-02-2011;00:00:01;0.89;0.81
10-02-2011;00:00:01;0.88;0.72
11-02-2011;00:00:01;0.95;0.81
12-02-2011;00:00:01;1.58;1.02
13-02-2011;00:00:01;1.95;1.03
14-02-2011;00:00:01;1.17;1.31
15-02-2011;00:00:01;1.03;0.86
16-02-2011;00:00:01;1.09;1.13
17-02-2011;00:00:01;1.02;1.02
18-02-2011;00:00:01;1.4;1.06
19-02-2011;00:00:01;1.42;1.23
20-02-2011;00:00:01;2.15;1.07
21-02-2011;00:00:01;0.95;1.11
22-02-2011;00:00:01;0.81;0.99
23-02-2011;00:00:01;1.2;0.43
24-02-2011;00:00:01;1.18;0.51
25-02-2011;00:00:01;0.9;1.24
26-02-2011;00:00:01;1.03;0.78
27-02-2011;00:00:01;1.32;0.99
28-02-2011;00:00:01;1.02;0.97
01-03-2011;00:00:01;0.93;0.79
02-03-2011;00:00:01;1.08;0.89
03-03-2011;00:00:01;0.89;0.77
04-03-2011;00:00:01;1.02;0.87
05-03-2011;00:00:01;0.72;0.54
06-03-2011;00:00:01;0.41;0.14
07-03-2011;00:00:01;0.41;0.14
08-03-2011;00:00:01;0.41;0.14
09-03-2011;00:00:01;0.34;0.11
13-03-2011;00:00:01;1.96;0.4
14-03-2011;00:00:01;1.28;0.99
15-03-2011;00:00:01;0.79;0.91
16-03-2011;00:00:01;0.96;0.76
17-03-2011;00:00:01;0.95;0.72
18-03-2011;00:00:01;0.91;0.77
19-03-2011;00:00:01;0.88;1.02
20-03-2011;00:00:01;1.89;0.86
21-03-2011;00:00:01;0.95;1.39
22-03-2011;00:00:01;0.8;0.75
23-03-2011;00:00:01;1.02;0.76
24-03-2011;00:00:01;1.05;0.37
25-03-2011;00:00:01;0.34;0.34
26-03-2011;00:00:01;1.01;0.93
27-03-2011;00:00:01;1.24;0.84
28-03-2011;00:00:01;1.01;0.7
29-03-2011;00:00:01;0.81;0.85
30-03-2011;00:00:01;0.8;0.86
31-03-2011;00:00:01;0.95;0.65
01-04-2011;00:00:01;0.83;0.66
02-04-2011;00:00:01;1.11;0.75
03-04-2011;00:00:01;1.06;1.33
04-04-2011;00:00:01;0.97;1.06
05-04-2011;00:00:01;0.85;0.7
06-04-2011;00:00:01;0.93;0.73
07-04-2011;00:00:01;0.89;0.65
08-04-2011;00:00:01;0.84;0.64
09-04-2011;00:00:01;1.06;0.85
10-04-2011;00:00:01;1.24;0.95
11-04-2011;00:00:01;1.03;1.01
12-04-2011;00:00:01;0.94;0.88
13-04-2011;00:00:01;1.02;0.88
14-04-2011;00:00:01;1.29;0.75
15-04-2011;00:00:01;0.95;0.97
16-04-2011;00:00:01;1.09;1
17-04-2011;00:00:01;0.79;1.17
18-04-2011;00:00:01;0.71;0.73
19-04-2011;00:00:01;1.4;0.96
20-04-2011;00:00:01;1.19;0.91
21-04-2011;00:00:01;1.28;1.05
22-04-2011;00:00:01;0.34;0.51
23-04-2011;00:00:01;0.88;0.37
24-04-2011;00:00:01;1.39;0.96
25-04-2011;00:00:01;0.92;1.25
26-04-2011;00:00:01;1.08;0.9
27-04-2011;00:00:01;1.23;0.79
28-04-2011;00:00:01;1.04;0.92
29-04-2011;00:00:01;0.87;1.05
30-04-2011;00:00:01;1.07;0.77
01-05-2011;00:00:01;0.66;0.84
02-05-2011;00:00:01;0.89;0.67
03-05-2011;00:00:01;0.83;0.95
04-05-2011;00:00:01;0.89;0.67
05-05-2011;00:00:01;0.93;0.57
06-05-2011;00:00:01;0.85;0.67
07-05-2011;00:00:01;0.54;0.8
08-05-2011;00:00:01;1.05;0.81
09-05-2011;00:00:01;0.92;0.82
10-05-2011;00:00:01;0.69;0.63
11-05-2011;00:00:01;0.76;0.54
12-05-2011;00:00:01;0.83;0.62
13-05-2011;00:00:01;0.77;0.7
14-05-2011;00:00:01;1.26;0.73
15-05-2011;00:00:01;1.05;0.76
16-05-2011;00:00:01;0.77;1.01
17-05-2011;00:00:01;0.85;0.7
18-05-2011;00:00:01;0.61;0.65
19-05-2011;00:00:01;0.83;0.59
20-05-2011;00:00:01;0.72;0.58
21-05-2011;00:00:01;1.22;0.67
22-05-2011;00:00:01;0.97;0.78
23-05-2011;00:00:01;0.91;0.86
24-05-2011;00:00:01;0.9;0.91
25-05-2011;00:00:01;0.71;0.72
26-05-2011;00:00:01;0.85;0.64
