DATE;heure;consoHP;consoHC
01-01-2010;00:00:01;0;0
07-02-2010;00:00:01;28.31;23.33
07-03-2010;00:00:01;25.76;23.85
04-04-2010;00:00:01;27.8;23.76
02-05-2010;00:00:01;34.55;29.38
06-06-2010;00:00:01;25.25;19.09
04-07-2010;00:00:01;17.21;12.36
01-08-2010;00:00:01;26.14;21.77
05-09-2010;00:00:01;19.76;15.03
03-10-2010;00:00:01;33.41;22.81
07-11-2010;00:00:01;24.86;21.77
05-12-2010;00:00:01;40.75;38.22
01-01-2011;00:00:01;33.21;31
01-02-2011;00:00:01;31.63;26.86
01-03-2011;00:00:01;28.11;20.52
01-04-2011;00:00:01;30.84;26.88
01-05-2011;00:00:01;27.39;22.99
01-06-2011;00:00:01;27.9;24.73
01-07-2011;00:00:01;34.3;28.9
01-08-2011;00:00:01;24.08;21.34
01-09-2011;00:00:01;24.19;19.45
01-10-2011;00:00:01;29.07;22.15
01-11-2011;00:00:01;33.69;25.21
01-12-2011;00:00:01;37.8;32.15
01-01-2012;00:00:01;32.71;29.02
01-02-2012;00:00:01;24.88;14.14
01-03-2012;00:00:01;33.2;26.49
01-04-2012;00:00:01;35.77;27.43
01-05-2012;00:00:01;32.76;26.56
01-06-2012;00:00:01;26.06;22.87
01-07-2012;00:00:01;30.92;25.7
01-08-2012;00:00:01;26.73;21.76
01-09-2012;00:00:01;27.47;21.44
01-10-2012;00:00:01;32.33;24.18
01-11-2012;00:00:01;33.15;27.13
01-12-2012;00:00:01;33.51;24.46
01-01-2013;00:00:01;36.68;29.36
01-02-2013;00:00:01;29.91;27.41
01-03-2013;00:00:01;33.7;27.57
01-04-2013;00:00:01;30.85;25.38
