DATE;Heure;ana1
22-01-2011;11:53:59;-0.54
22-01-2011;12:00:06;-0.15
22-01-2011;13:02:12;0.38
22-01-2011;14:01:16;0.88
22-01-2011;15:01:21;0.81
22-01-2011;15:18:40;1.15
22-01-2011;16:00:25;0.79
22-01-2011;17:00:30;0.22
22-01-2011;18:00:34;-0.42
22-01-2011;19:01:39;-0.67
22-01-2011;20:00:41;-0.74
22-01-2011;21:02:47;-1.35
22-01-2011;22:00:48;-1.54
22-01-2011;23:00:51;-1.61
22-01-2011;23:59:52;-2.45
23-01-2011;00:01:54;-2.50
23-01-2011;01:00:56;-2.52
23-01-2011;02:00:58;-1.61
23-01-2011;03:01:01;-1.20
23-01-2011;04:02:05;-1.22
23-01-2011;05:00:06;-1.61
23-01-2011;06:01:10;-2.02
23-01-2011;07:00:11;-2.15
23-01-2011;08:00:13;-2.81
23-01-2011;08:37:52;-3.00
23-01-2011;09:00:16;-2.85
23-01-2011;10:00:18;-1.42
23-01-2011;11:00:22;0.09
23-01-2011;13:26:02;3.68
23-01-2011;14:00:49;3.73
23-01-2011;14:02:52;3.86
23-01-2011;15:00:09;2.29
23-01-2011;16:01:31;2.14
23-01-2011;17:00:50;1.31
23-01-2011;18:00:08;0.05
23-01-2011;19:00:26;-1.13
23-01-2011;20:00:44;-1.75
23-01-2011;21:00:00;-1.97
23-01-2011;22:00:16;-2.11
23-01-2011;23:00:33;-2.18
24-01-2011;00:00:50;-2.22
24-01-2011;01:00:06;-2.74
24-01-2011;02:00:22;-3.24
24-01-2011;03:00:38;-3.29
24-01-2011;04:00:54;-3.94
24-01-2011;05:00:08;-4.06
24-01-2011;06:00:24;-4.54
24-01-2011;06:50:27;-4.83
24-01-2011;07:00:39;-4.76
24-01-2011;08:00:55;-4.74
24-01-2011;09:00:09;-4.54
24-01-2011;10:00:25;-2.50
24-01-2011;11:00:42;-0.77
24-01-2011;12:01:01;0.61
24-01-2011;13:00:19;1.68
24-01-2011;14:00:40;2.34
24-01-2011;14:49:46;2.93
24-01-2011;15:03:04;2.84
24-01-2011;16:00:21;2.88
24-01-2011;17:00:42;2.38
24-01-2011;18:00:01;1.04
24-01-2011;19:00:21;-0.18
24-01-2011;20:00:39;-0.26
24-01-2011;21:00:58;-0.22
24-01-2011;22:00:15;-0.24
24-01-2011;23:00:33;-0.33
25-01-2011;00:00:52;-0.10
25-01-2011;01:00:09;-0.40
25-01-2011;02:00:27;-0.49
25-01-2011;03:00:45;-1.40
25-01-2011;04:00:01;-1.90
25-01-2011;05:00:18;-2.15
25-01-2011;06:00:34;-2.40
25-01-2011;06:18:58;-2.63
25-01-2011;07:00:51;-1.90
25-01-2011;08:00:07;-2.27
25-01-2011;09:00:23;-2.22
25-01-2011;10:00:40;-0.63
25-01-2011;11:00:59;0.95
25-01-2011;12:00:18;3.27
25-01-2011;13:00:41;4.00
25-01-2011;14:00:02;4.54
25-01-2011;14:38:55;4.98
25-01-2011;15:00:25;4.36
25-01-2011;16:00:48;4.43
25-01-2011;17:00:09;3.63
25-01-2011;18:00:31;1.95
25-01-2011;19:00:51;1.05
25-01-2011;20:00:10;1.75
25-01-2011;21:00:31;2.04
25-01-2011;22:00:51;2.09
25-01-2011;23:00:11;1.97
26-01-2011;00:00:31;1.84
26-01-2011;01:00:52;1.63
26-01-2011;02:00:11;1.31
26-01-2011;03:00:30;0.59
26-01-2011;03:42:25;0.55
26-01-2011;04:00:50;0.73
26-01-2011;05:00:08;1.27
26-01-2011;06:00:28;1.32
26-01-2011;07:00:48;1.20
26-01-2011;08:00:06;1.06
26-01-2011;09:00:26;1.18
26-01-2011;10:00:47;2.29
26-01-2011;11:00:07;4.23
26-01-2011;12:00:31;6.54
26-01-2011;12:43:31;7.20
26-01-2011;13:00:56;7.09
26-01-2011;14:00:20;6.77
26-01-2011;15:00:45;6.18
26-01-2011;16:00:08;6.91
26-01-2011;17:00:33;5.55
26-01-2011;18:00:57;3.84
26-01-2011;19:00:17;2.52
26-01-2011;20:00:38;1.54
26-01-2011;21:00:58;1.23
26-01-2011;22:00:16;1.11
26-01-2011;23:00:36;1.34
27-01-2011;00:16:13;2.06
27-01-2011;01:00:12;0.59
27-01-2011;02:00:31;0.46
27-01-2011;03:00:50;0.50
27-01-2011;04:00:07;-0.29
27-01-2011;05:00:26;-0.31
27-01-2011;06:00:44;-0.42
27-01-2011;06:17:05;-0.81
27-01-2011;07:00:01;-0.38
27-01-2011;08:00:19;-0.38
27-01-2011;09:01:39;0.81
27-01-2011;10:02:00;3.13
27-01-2011;11:00:19;4.54
27-01-2011;12:00:42;5.80
27-01-2011;13:01:08;8.43
27-01-2011;14:00:34;9.75
27-01-2011;15:00:01;9.57
27-01-2011;15:17:27;10.05
27-01-2011;16:00:29;8.71
27-01-2011;17:00:57;8.21
27-01-2011;18:00:21;6.32
27-01-2011;19:00:46;5.63
27-01-2011;20:00:09;5.79
27-01-2011;21:00:33;5.54
27-01-2011;22:00:57;5.43
27-01-2011;23:00:19;4.84
28-01-2011;00:00:43;5.37
28-01-2011;01:00:06;5.34
28-01-2011;02:00:29;4.96
28-01-2011;03:00:53;4.73
28-01-2011;04:00:15;4.73
28-01-2011;05:00:38;4.36
28-01-2011;06:01:01;4.73
28-01-2011;07:01:24;4.91
28-01-2011;08:00:46;3.82
28-01-2011;08:36:35;3.45
28-01-2011;09:01:08;3.79
28-01-2011;10:00:30;4.79
28-01-2011;11:00:54;6.95
28-01-2011;12:00:19;8.13
28-01-2011;13:01:48;9.52
28-01-2011;14:01:15;9.89
28-01-2011;14:53:32;10.82
28-01-2011;15:00:42;10.48
28-01-2011;18:13:23;8.41
28-01-2011;19:00:31;8.18
28-01-2011;20:00:58;7.95
28-01-2011;21:01:24;7.82
28-01-2011;22:00:50;7.73
28-01-2011;23:00:14;7.11
29-01-2011;00:00:40;7.00
29-01-2011;01:01:06;7.02
29-01-2011;02:00:30;7.07
29-01-2011;03:00:56;6.88
29-01-2011;04:00:20;6.70
29-01-2011;05:00:45;6.47
29-01-2011;06:00:08;6.41
29-01-2011;07:00:33;6.32
29-01-2011;08:00:58;6.37
29-01-2011;09:00:21;6.20
29-01-2011;10:00:46;6.37
29-01-2011;10:55:03;7.57
29-01-2011;11:00:10;7.55
29-01-2011;12:00:35;6.84
29-01-2011;13:01:01;6.68
29-01-2011;14:00:24;6.16
29-01-2011;15:00:49;5.75
29-01-2011;16:00:11;5.00
29-01-2011;17:00:34;4.34
29-01-2011;18:00:57;3.73
29-01-2011;19:01:19;3.50
29-01-2011;20:00:40;3.47
29-01-2011;21:00:01;3.47
29-01-2011;22:00:23;3.45
29-01-2011;22:18:48;3.38
29-01-2011;23:00:45;3.52
30-01-2011;00:00:05;3.57
30-01-2011;01:00:27;3.54
30-01-2011;02:00:50;3.73
30-01-2011;03:00:10;3.77
30-01-2011;04:00:33;3.75
30-01-2011;05:00:55;3.73
30-01-2011;06:00:16;3.77
30-01-2011;07:00:38;3.86
30-01-2011;08:01:01;3.77
30-01-2011;09:00:22;3.97
30-01-2011;10:00:44;4.75
30-01-2011;11:00:07;5.73
30-01-2011;12:00:31;5.54
30-01-2011;13:00:55;5.43
30-01-2011;14:00:18;5.73
30-01-2011;15:00:42;5.79
30-01-2011;15:52:55;6.21
30-01-2011;16:00:05;6.18
30-01-2011;17:01:31;5.41
30-01-2011;18:00:53;5.07
30-01-2011;19:00:15;4.86
30-01-2011;20:00:38;4.36
30-01-2011;21:01:01;3.63
30-01-2011;22:00:21;2.54
30-01-2011;23:00:41;2.06
30-01-2011;23:51:49;1.61
01-02-2011;00:00:41;0.02
01-02-2011;01:01:00;-0.29
01-02-2011;02:00:17;-0.22
01-02-2011;03:00:35;-0.04
01-02-2011;04:00:54;0.13
01-02-2011;05:00:11;-0.06
01-02-2011;06:00:29;0.07
01-02-2011;07:00:48;-0.20
01-02-2011;08:00:05;-0.20
01-02-2011;18:32:02;-0.72
01-02-2011;18:39:13;1.13
01-02-2011;19:00:47;-0.22
01-02-2011;20:00:22;-0.65
02-02-2011;00:21:16;-0.40
02-02-2011;01:00:06;-0.70
02-02-2011;02:00:24;-0.76
02-02-2011;03:00:42;-0.72
02-02-2011;04:00:59;-0.65
02-02-2011;05:00:16;-0.90
02-02-2011;06:00:33;-1.10
02-02-2011;07:00:50;-1.59
02-02-2011;08:00:06;-1.84
02-02-2011;08:23:36;-2.06
02-02-2011;09:00:22;-1.86
02-02-2011;10:00:39;-1.20
02-02-2011;11:00:57;0.43
02-02-2011;12:00:15;1.45
02-02-2011;13:00:35;2.34
02-02-2011;14:00:56;3.54
02-02-2011;15:00:17;4.93
02-02-2011;15:18:42;5.20
02-02-2011;16:00:40;4.73
02-02-2011;17:00:01;4.14
02-02-2011;18:00:24;3.95
02-02-2011;19:00:46;3.55
02-02-2011;20:00:06;3.54
02-02-2011;21:00:28;3.55
02-02-2011;22:00:50;3.70
02-02-2011;23:00:11;3.95
03-02-2011;00:00:33;4.11
03-02-2011;01:00:56;4.54
03-02-2011;02:01:19;4.84
03-02-2011;03:00:41;4.70
03-02-2011;04:01:04;4.77
03-02-2011;05:00:26;4.91
03-02-2011;06:00:49;5.23
03-02-2011;07:00:12;5.23
03-02-2011;08:00:35;5.11
03-02-2011;09:00:59;5.61
03-02-2011;10:00:22;6.45
03-02-2011;11:00:47;8.29
03-02-2011;12:00:13;8.82
03-02-2011;13:00:40;9.32
