DATE;Heure;ana1
24-08-2024;20:02:35;29.75
24-08-2024;20:03:10;29.85
24-08-2024;20:35:36;27.09
24-08-2024;21:08:01;26.53
24-08-2024;21:40:25;26.24
24-08-2024;22:12:49;26.06
24-08-2024;22:45:12;25.87
24-08-2024;23:17:37;25.78
24-08-2024;23:50:00;25.59
25-08-2024;00:22:23;25.40
25-08-2024;00:54:47;25.22
25-08-2024;01:27:09;25.12
25-08-2024;01:59:33;24.94
25-08-2024;02:31:56;24.84
25-08-2024;03:04:19;24.75
25-08-2024;03:36:41;24.57
25-08-2024;04:09:03;24.47
25-08-2024;04:41:26;24.38
25-08-2024;05:13:49;24.29
25-08-2024;05:46:11;24.10
25-08-2024;06:18:32;23.82
25-08-2024;06:50:54;23.73
25-08-2024;07:23:17;23.64
25-08-2024;07:55:38;23.64
25-08-2024;08:27:59;23.64
25-08-2024;09:00:21;23.64
25-08-2024;09:32:42;23.92
25-08-2024;10:05:05;24.38
25-08-2024;10:37:28;24.66
25-08-2024;11:09:50;24.47
25-08-2024;11:42:12;24.38
25-08-2024;12:14:34;24.47
25-08-2024;12:46:56;24.47
25-08-2024;13:19:20;24.84
25-08-2024;13:51:42;25.03
25-08-2024;14:24:05;25.22
25-08-2024;14:56:28;25.50
25-08-2024;15:28:52;25.68
25-08-2024;16:01:16;25.78
25-08-2024;16:33:39;25.40
25-08-2024;17:06:02;24.47
25-08-2024;17:38:24;23.73
25-08-2024;18:10:45;23.45
25-08-2024;18:43:08;23.45
25-08-2024;19:15:29;23.27
25-08-2024;19:47:50;23.18
25-08-2024;20:20:11;22.81
25-08-2024;20:52:32;23.27
25-08-2024;21:24:53;23.45
25-08-2024;21:57:15;23.64
25-08-2024;22:29:37;23.82
25-08-2024;23:01:59;23.82
25-08-2024;23:34:20;23.82
26-08-2024;00:06:42;23.82
26-08-2024;00:39:04;23.73
26-08-2024;01:43:48;23.55
26-08-2024;02:16:09;23.45
26-08-2024;02:48:30;23.45
26-08-2024;03:20:52;23.27
26-08-2024;03:53:14;23.27
26-08-2024;04:25:35;23.08
26-08-2024;04:57:56;22.99
26-08-2024;05:30:17;22.90
26-08-2024;06:02:38;22.44
26-08-2024;06:34:58;22.07
26-08-2024;07:07:19;21.88
26-08-2024;07:39:39;21.52
26-08-2024;08:11:59;21.52
26-08-2024;08:44:18;21.98
26-08-2024;09:16:39;22.53
26-08-2024;09:48:59;22.99
26-08-2024;10:21:21;23.45
26-08-2024;10:53:43;23.82
26-08-2024;11:26:05;24.19
26-08-2024;11:58:27;24.38
26-08-2024;12:30:49;24.57
26-08-2024;13:03:12;24.66
26-08-2024;13:35:35;23.82
26-08-2024;14:07:56;24.19
26-08-2024;14:40:19;24.57
26-08-2024;15:12:41;24.84
26-08-2024;15:45:04;24.94
26-08-2024;16:17:27;25.12
26-08-2024;17:22:13;25.31
26-08-2024;17:54:36;25.22
26-08-2024;18:26:59;25.22
26-08-2024;18:59:23;25.12
26-08-2024;19:31:46;24.84
26-08-2024;20:04:08;24.57
26-08-2024;20:36:30;24.29
26-08-2024;21:08:52;24.01
26-08-2024;21:41:14;23.82
26-08-2024;22:13:36;23.64
26-08-2024;22:45:59;23.55
26-08-2024;23:18:20;23.45
26-08-2024;23:50:42;23.36
27-08-2024;00:23:03;23.27
27-08-2024;00:55:24;23.36
27-08-2024;01:27:46;23.36
27-08-2024;02:00:08;23.36
27-08-2024;02:32:29;23.27
27-08-2024;03:04:50;23.08
27-08-2024;03:37:11;22.90
27-08-2024;04:09:32;22.71
27-08-2024;04:41:54;22.53
27-08-2024;05:14:15;22.35
27-08-2024;05:46:35;21.98
27-08-2024;06:18:55;21.52
27-08-2024;06:51:15;21.33
27-08-2024;07:23:34;21.24
27-08-2024;07:55:54;20.96
27-08-2024;08:28:14;21.06
27-08-2024;09:00:33;21.52
27-08-2024;09:32:53;22.07
27-08-2024;10:05:13;22.62
27-08-2024;10:37:34;23.08
27-08-2024;11:09:56;23.55
27-08-2024;11:42:18;23.92
27-08-2024;12:14:40;24.19
27-08-2024;12:47:02;24.38
27-08-2024;13:19:24;24.66
27-08-2024;13:51:47;24.84
27-08-2024;14:24:11;25.03
27-08-2024;14:56:34;25.22
27-08-2024;15:28:57;25.40
27-08-2024;16:01:20;25.59
27-08-2024;16:33:44;25.68
27-08-2024;17:06:08;25.87
27-08-2024;17:38:32;25.96
27-08-2024;18:10:56;26.06
27-08-2024;18:43:19;26.06
