DATE;Heure;ana1;ana2;ana3;ana4
03-06-2012;23:59:31;15.80;100.00;15.81;3.49
04-06-2012;00:04:48;15.82;100.00;15.81;3.49
04-06-2012;01:02:54;15.73;100.00;15.72;3.67
04-06-2012;02:01:00;15.68;100.00;15.68;3.43
04-06-2012;03:04:23;15.64;100.00;15.64;3.48
04-06-2012;04:02:28;15.61;100.00;15.61;3.44
04-06-2012;05:05:51;15.55;100.00;15.55;3.43
04-06-2012;06:03:57;15.54;100.00;15.55;3.49
04-06-2012;07:07:19;15.54;100.00;15.55;3.41
04-06-2012;07:28:27;15.53;100.00;15.53;3.44
04-06-2012;08:00:08;15.61;100.00;15.62;3.39
04-06-2012;09:03:30;15.61;100.00;15.62;3.39
04-06-2012;10:01:36;15.64;100.00;15.63;3.40
04-06-2012;11:04:58;15.73;100.00;15.73;3.38
04-06-2012;12:08:21;15.75;100.00;15.75;3.38
04-06-2012;13:01:10;15.77;100.00;15.78;3.39
04-06-2012;14:04:33;15.77;98.83;15.59;3.38
04-06-2012;15:02:39;15.77;98.19;15.49;3.39
04-06-2012;16:00:44;15.79;98.37;15.54;3.37
04-06-2012;16:37:43;15.86;98.85;15.67;3.37
04-06-2012;17:04:07;15.75;97.44;15.35;3.37
04-06-2012;18:02:13;15.77;96.83;15.26;3.35
04-06-2012;19:00:19;15.75;95.69;15.07;3.35
04-06-2012;20:03:41;15.68;93.96;14.71;3.42
04-06-2012;21:01:47;15.68;94.42;14.78;3.35
04-06-2012;22:05:09;15.61;93.21;14.51;3.33
04-06-2012;23:03:14;15.61;93.57;14.58;3.33
05-06-2012;00:01:20;15.59;93.83;14.60;3.33
05-06-2012;01:04:42;15.57;93.41;14.51;3.33
05-06-2012;02:02:48;15.53;92.87;14.39;3.34
05-06-2012;03:06:10;15.46;92.02;14.17;3.33
05-06-2012;04:04:16;15.41;91.35;14.01;3.33
05-06-2012;05:02:21;15.37;90.62;13.85;3.33
05-06-2012;06:00:26;15.32;89.58;13.61;3.32
05-06-2012;06:32:07;15.28;89.33;13.54;3.33
05-06-2012;07:03:47;15.32;90.27;13.73;3.33
05-06-2012;08:01:52;15.45;91.33;14.05;3.32
05-06-2012;09:05:14;15.55;92.41;14.33;3.34
05-06-2012;10:03:20;15.64;94.10;14.69;3.33
05-06-2012;11:01:25;15.66;92.88;14.52;3.33
05-06-2012;12:04:47;15.75;94.76;14.92;3.32
05-06-2012;13:02:53;15.77;93.51;14.73;3.34
05-06-2012;14:00:58;15.82;93.49;14.77;3.34
05-06-2012;15:04:21;15.82;90.68;14.29;3.35
05-06-2012;16:07:43;15.86;92.64;14.66;3.35
05-06-2012;17:00:32;15.89;93.83;14.90;3.35
05-06-2012;18:03:55;15.95;94.24;15.03;3.35
05-06-2012;19:02:00;16.00;95.36;15.25;3.35
05-06-2012;20:00:06;16.00;94.92;15.18;3.35
05-06-2012;20:37:04;16.04;95.40;15.31;3.35
05-06-2012;21:08:45;16.00;92.91;14.85;3.35
05-06-2012;22:01:34;15.98;92.33;14.73;3.35
05-06-2012;23:04:57;15.98;90.08;14.35;3.35
06-06-2012;00:03:02;15.96;90.24;14.37;3.35
06-06-2012;01:16:58;15.93;86.02;13.59;3.36
06-06-2012;02:04:30;15.93;86.11;13.61;3.35
06-06-2012;03:02:35;15.91;86.94;13.74;3.36
06-06-2012;04:05:58;15.91;88.63;14.03;3.36
06-06-2012;05:04:03;15.95;90.45;14.39;3.36
06-06-2012;06:02:09;15.89;88.46;13.99;3.36
06-06-2012;06:39:07;15.87;87.76;13.85;3.36
06-06-2012;07:00:14;15.89;87.85;13.88;3.37
06-06-2012;08:03:36;15.91;89.69;14.21;3.36
06-06-2012;09:01:42;15.93;93.99;14.96;3.36
06-06-2012;10:05:04;16.04;98.77;15.85;3.36
06-06-2012;11:03:10;16.20;100.00;16.19;3.36
06-06-2012;12:01:16;16.25;100.00;16.25;3.36
06-06-2012;13:09:55;16.27;100.00;16.27;3.36
06-06-2012;14:02:44;16.32;100.00;16.32;3.37
06-06-2012;15:00:50;16.29;100.00;16.30;3.37
06-06-2012;16:04:13;16.32;100.00;16.32;3.36
06-06-2012;17:07:35;16.34;100.00;16.34;3.37
06-06-2012;18:00:24;16.34;100.00;16.34;3.36
06-06-2012;19:03:47;16.34;100.00;16.34;3.36
06-06-2012;20:01:53;16.34;100.00;16.34;3.36
06-06-2012;20:17:44;16.37;100.00;16.37;3.36
06-06-2012;21:05:15;16.29;100.00;16.30;3.35
06-06-2012;22:03:21;16.27;100.00;16.28;3.44
06-06-2012;23:01:27;16.23;100.00;16.23;3.35
07-06-2012;00:04:49;16.23;98.62;16.02;3.35
07-06-2012;01:02:55;16.23;98.65;16.02;3.35
07-06-2012;02:01:00;16.23;98.70;16.03;3.35
07-06-2012;03:04:23;16.20;100.00;16.19;3.35
07-06-2012;04:02:28;16.20;100.00;16.19;3.33
07-06-2012;04:18:19;16.18;100.00;16.18;3.34
07-06-2012;05:00:34;16.20;100.00;16.20;3.35
07-06-2012;06:03:57;16.20;100.00;16.20;3.35
07-06-2012;07:02:02;16.20;100.00;16.20;3.35
07-06-2012;08:00:08;16.25;100.00;16.25;3.34
07-06-2012;09:03:30;16.36;100.00;16.36;3.35
07-06-2012;10:06:53;16.52;100.00;16.52;3.35
07-06-2012;11:04:59;16.59;100.00;16.59;3.35
07-06-2012;12:03:05;16.68;100.00;16.68;3.34
07-06-2012;13:01:11;16.71;100.00;16.71;3.35
07-06-2012;14:04:34;16.79;100.00;16.80;3.35
07-06-2012;15:02:40;16.82;100.00;16.82;3.35
07-06-2012;16:00:46;16.77;100.00;16.77;3.35
07-06-2012;17:09:27;16.78;100.00;16.78;3.34
07-06-2012;18:02:16;16.86;100.00;16.86;3.34
07-06-2012;18:18:07;16.89;100.00;16.88;3.35
07-06-2012;19:00:23;16.82;100.00;16.82;3.34
07-06-2012;20:03:46;16.71;100.00;16.71;3.35
07-06-2012;21:01:52;16.59;100.00;16.59;3.35
07-06-2012;22:05:15;16.53;100.00;16.53;3.35
07-06-2012;23:03:21;16.48;100.00;16.48;3.35
08-06-2012;00:01:27;16.43;100.00;16.43;3.35
08-06-2012;01:10:06;16.34;100.00;16.34;3.35
08-06-2012;02:02:55;16.32;100.00;16.33;3.35
08-06-2012;03:01:00;16.27;100.00;16.27;3.35
08-06-2012;04:04:23;16.23;100.00;16.23;3.35
08-06-2012;05:02:28;16.20;100.00;16.20;3.35
08-06-2012;06:00:33;16.12;98.62;15.91;3.35
08-06-2012;07:03:56;16.11;98.56;15.89;3.35
08-06-2012;08:02:01;16.09;97.99;15.77;3.35
08-06-2012;09:00:06;16.09;98.09;15.78;3.35
08-06-2012;10:03:29;16.09;98.50;15.86;3.35
08-06-2012;11:01:34;16.14;100.00;16.14;3.35
08-06-2012;12:04:56;16.18;98.76;15.98;3.35
08-06-2012;13:03:02;16.14;97.34;15.72;3.35
08-06-2012;14:01:07;16.11;95.86;15.45;3.35
08-06-2012;15:04:29;16.20;97.46;15.79;3.35
08-06-2012;16:02:35;16.21;97.82;15.87;3.35
08-06-2012;17:00:40;16.20;96.61;15.65;3.35
08-06-2012;18:04:03;16.21;95.65;15.52;3.35
08-06-2012;19:02:08;16.20;96.74;15.68;3.35
08-06-2012;20:00:13;16.16;96.88;15.66;3.35
08-06-2012;21:03:36;16.14;96.51;15.58;3.35
08-06-2012;22:06:58;16.00;90.54;14.46;3.35
08-06-2012;23:05:04;15.96;88.27;14.02;3.35
08-06-2012;23:31:29;15.93;87.08;13.79;3.35
09-06-2012;00:08:29;15.93;86.32;13.65;3.35
09-06-2012;01:01:23;15.89;84.55;13.29;3.35
09-06-2012;02:04:53;15.87;82.63;12.92;3.71
09-06-2012;03:03:05;15.86;80.84;12.57;3.77
09-06-2012;04:01:18;15.79;78.44;12.05;3.38
09-06-2012;05:04:48;15.78;78.24;12.00;3.57
09-06-2012;05:36:33;15.73;77.59;11.83;3.57
09-06-2012;06:03:00;15.75;76.86;11.69;3.32
09-06-2012;07:01:13;15.75;78.46;12.02;3.51
09-06-2012;08:04:43;15.84;83.50;13.04;3.79
09-06-2012;09:08:13;15.91;84.39;13.28;3.49
09-06-2012;10:01:09;15.98;84.46;13.36;3.33
09-06-2012;11:04:39;16.02;78.99;12.37;3.82
09-06-2012;12:02:52;16.07;82.57;13.11;3.67
09-06-2012;13:01:05;16.05;78.27;12.27;3.69
09-06-2012;14:09:53;16.07;84.02;13.37;3.35
09-06-2012;15:02:49;16.05;83.17;13.20;3.73
09-06-2012;16:06:20;16.09;84.22;13.43;3.77
09-06-2012;17:04:33;16.11;86.25;13.81;3.71
09-06-2012;18:02:47;16.11;81.11;12.86;3.73
09-06-2012;19:01:00;16.11;79.37;12.54;3.36
09-06-2012;19:59:13;16.16;83.98;13.45;3.53
09-06-2012;20:04:31;16.12;82.22;13.09;3.46
09-06-2012;21:02:44;16.09;84.02;13.39;3.77
09-06-2012;22:00:58;16.05;85.62;13.64;3.71
09-06-2012;23:09:46;16.03;84.39;13.40;3.45
10-06-2012;00:02:42;16.07;85.84;13.69;3.48
10-06-2012;01:00:55;16.03;91.63;14.67;3.46
10-06-2012;02:04:26;16.02;91.73;14.67;3.49
10-06-2012;03:02:39;16.02;92.16;14.74;3.48
10-06-2012;04:00:53;16.00;92.91;14.85;3.69
10-06-2012;05:04:24;16.00;92.18;14.73;3.35
10-06-2012;05:14:59;15.96;92.43;14.74;3.46
10-06-2012;06:02:38;16.00;94.04;15.04;3.43
10-06-2012;07:00:51;16.00;95.65;15.30;3.44
10-06-2012;08:04:22;16.02;98.00;15.70;3.74
10-06-2012;09:02:36;16.05;100.00;16.05;3.57
10-06-2012;10:00:49;16.11;100.00;16.11;3.81
10-06-2012;11:09:38;16.20;100.00;16.19;3.51
10-06-2012;12:02:34;16.25;100.00;16.25;3.65
10-06-2012;13:00:48;16.25;100.00;16.25;3.32
10-06-2012;14:04:19;16.43;100.00;16.43;3.76
10-06-2012;15:02:33;16.45;100.00;16.45;3.81
10-06-2012;15:44:54;16.50;100.00;16.50;3.46
10-06-2012;16:06:05;16.45;100.00;16.45;3.77
10-06-2012;17:04:19;16.36;100.00;16.36;3.80
10-06-2012;18:07:50;16.32;100.00;16.33;3.55
10-06-2012;19:00:47;16.23;100.00;16.23;3.82
