DATE;Heure;ana1
13-05-2016;07:38:58;14.37
13-05-2016;08:04:01;15.47
13-05-2016;09:04:08;15.76
13-05-2016;10:04:14;15.86
13-05-2016;11:04:21;15.96
13-05-2016;12:04:15;16.06
13-05-2016;13:09:21;16.06
13-05-2016;14:04:27;16.36
13-05-2016;15:04:34;16.65
13-05-2016;16:04:40;17.05
13-05-2016;17:00:15;17.14
13-05-2016;17:35:15;17.34
13-05-2016;18:00:17;17.14
13-05-2016;19:00:23;16.85
13-05-2016;20:05:18;16.75
13-05-2016;21:00:25;16.65
22-05-2016;12:12:55;22.17
22-05-2016;13:00:07;20.64
22-05-2016;14:00:13;20.44
22-05-2016;15:54:10;20.64
22-05-2016;16:15:49;20.92
24-05-2016;22:30:01;21.79
24-05-2016;23:05:04;18.70
24-05-2016;23:59:59;17.63
25-05-2016;00:10:00;17.54
25-05-2016;01:00:04;17.14
25-05-2016;02:00:11;17.05
25-05-2016;03:00:18;16.85
25-05-2016;04:00:24;16.65
25-05-2016;05:00:31;16.55
25-05-2016;06:05:38;16.65
25-05-2016;07:00:44;16.65
25-05-2016;08:00:50;16.55
25-05-2016;09:00:57;16.36
25-05-2016;09:21:00;16.36
25-05-2016;10:01:03;16.55
25-05-2016;11:01:10;16.85
25-05-2016;12:01:05;17.14
25-05-2016;13:01:11;17.44
25-05-2016;14:01:18;17.73
25-05-2016;15:01:23;18.02
25-05-2016;16:01:30;18.41
25-05-2016;17:01:36;18.90
25-05-2016;18:01:43;19.29
25-05-2016;19:01:49;19.77
25-05-2016;19:51:54;20.35
25-05-2016;20:01:55;20.25
25-05-2016;21:02:01;20.06
25-05-2016;22:02:08;19.48
25-05-2016;23:02:14;19.00
26-05-2016;00:02:09;18.41
26-05-2016;01:07:15;18.12
26-05-2016;02:02:21;17.93
26-05-2016;03:02:28;17.44
26-05-2016;04:02:34;17.14
26-05-2016;05:02:41;17.05
26-05-2016;06:02:46;16.75
26-05-2016;06:32:50;16.65
26-05-2016;07:02:53;16.75
26-05-2016;08:02:59;16.95
26-05-2016;09:03:06;16.95
26-05-2016;10:03:12;16.75
26-05-2016;11:03:19;16.75
26-05-2016;12:03:14;16.95
26-05-2016;13:03:20;17.14
26-05-2016;14:03:26;17.34
26-05-2016;15:03:33;17.73
26-05-2016;16:03:39;18.22
26-05-2016;17:03:45;18.61
26-05-2016;18:03:51;19.00
26-05-2016;19:03:57;19.09
26-05-2016;20:04:04;19.29
26-05-2016;20:39:08;19.29
26-05-2016;21:04:10;19.19
26-05-2016;22:04:17;18.70
26-05-2016;23:04:23;18.12
27-05-2016;00:04:18;17.54
27-05-2016;01:04:24;17.24
27-05-2016;02:04:30;16.75
27-05-2016;03:04:37;16.55
27-05-2016;04:04:43;16.26
27-05-2016;05:04:50;16.06
27-05-2016;06:04:55;15.86
27-05-2016;07:00:01;15.56
27-05-2016;07:10:03;15.56
27-05-2016;08:00:08;15.96
27-05-2016;09:00:14;16.26
27-05-2016;10:05:22;16.46
27-05-2016;11:00:27;16.65
