DATE;Heure;bureau;salon;chambreM;chambreJF
14-05-2013;00:14:01;0;0;0;0
14-05-2013;00:29:01;0;0;0;0
14-05-2013;00:44:01;0;0;0;0
14-05-2013;00:59:01;0;0;0;0
14-05-2013;01:14:01;0;0;0;0
14-05-2013;01:29:01;0;0;0;0
14-05-2013;01:44:01;0;0;0;0
14-05-2013;01:59:01;0;0;0;0
14-05-2013;02:14:01;0;0;0;0
14-05-2013;02:29:01;0;0;0;0
14-05-2013;02:44:02;0;0;0;0
14-05-2013;02:59:01;0;0;0;0
14-05-2013;03:14:01;0;0;0;0
14-05-2013;03:29:01;0;0;0;0
14-05-2013;03:44:02;0;0;0;0
14-05-2013;03:59:01;0;0;0;0
14-05-2013;04:14:01;0;0;0;0
14-05-2013;04:29:01;0;0;0;0
14-05-2013;04:44:01;0;0;0;0
14-05-2013;04:59:01;0;0;0;0
14-05-2013;05:14:01;0;0;0;0
14-05-2013;05:29:02;0;0;0;0
14-05-2013;05:44:01;0;0;0;0
14-05-2013;05:59:01;0;0;0;0
14-05-2013;06:14:01;0;0;0;0
14-05-2013;06:29:01;0;0;0;0
14-05-2013;06:44:01;1;1;1;1
14-05-2013;06:59:01;1;1;1;1
14-05-2013;07:14:01;1;1;1;1
14-05-2013;07:29:01;1;1;1;1
14-05-2013;07:44:01;1;1;1;1
14-05-2013;07:59:01;1;1;1;1
14-05-2013;08:14:01;1;1;1;1
14-05-2013;08:29:01;1;1;1;1
14-05-2013;08:44:01;1;1;1;1
14-05-2013;08:59:01;1;1;1;1
14-05-2013;09:14:01;1;1;1;1
14-05-2013;09:29:01;1;1;1;1
14-05-2013;09:44:01;1;1;1;1
14-05-2013;09:59:01;1;1;1;1
14-05-2013;10:14:01;1;1;1;1
14-05-2013;10:29:01;1;1;1;1
14-05-2013;10:44:02;1;1;1;1
14-05-2013;10:59:01;1;1;1;1
14-05-2013;11:14:01;1;1;1;1
14-05-2013;11:29:01;1;1;1;1
14-05-2013;11:44:02;1;1;1;1
14-05-2013;11:59:01;1;1;1;1
14-05-2013;12:14:01;1;1;1;1
